,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
660642,Europe,Slovakia,Vegetables,Offline,M,5/11/2010,884649455,6/16/2010,6287,154.06,90.93,968575.22,571676.91,396898.31
660688,Europe,Slovakia,Personal Care,Offline,C,9/11/2011,819245612,10/10/2011,1837,81.73,56.67,150138.01,104102.79,46035.22
660767,Europe,Slovakia,Meat,Offline,L,1/20/2011,834296452,2/26/2011,5715,421.89,364.69,2411101.35,2084203.35,326898.0
661034,Europe,Slovakia,Household,Online,C,7/27/2011,639492976,9/11/2011,9037,668.27,502.54,6039155.99,4541453.98,1497702.01
661461,Europe,Slovakia,Snacks,Online,L,7/23/2012,753982102,8/16/2012,8914,152.58,97.44,1360098.12,868580.16,491517.96
661523,Europe,Slovakia,Fruits,Online,M,6/27/2016,164345014,8/3/2016,2196,9.33,6.92,20488.68,15196.32,5292.36
661572,Europe,Slovakia,Fruits,Online,C,1/6/2014,471523177,1/12/2014,3041,9.33,6.92,28372.53,21043.72,7328.81
661839,Europe,Slovakia,Baby Food,Offline,C,2/13/2015,165908849,3/3/2015,4970,255.28,159.42,1268741.6,792317.4,476424.2
662255,Europe,Slovakia,Clothes,Online,H,2/13/2011,255735814,3/11/2011,6765,109.28,35.84,739279.2,242457.6,496821.6
662279,Europe,Slovakia,Clothes,Online,C,4/20/2013,993148458,4/20/2013,3553,109.28,35.84,388271.84,127339.52,260932.32
662315,Europe,Slovakia,Beverages,Offline,M,7/5/2014,922741544,7/6/2014,8583,47.45,31.79,407263.35,272853.57,134409.78
662359,Europe,Slovakia,Office Supplies,Online,L,10/17/2016,598553884,11/10/2016,4250,651.21,524.96,2767642.5,2231080.0,536562.5
662421,Europe,Slovakia,Baby Food,Online,M,1/6/2013,900292527,2/24/2013,5420,255.28,159.42,1383617.6,864056.4,519561.2
662627,Europe,Slovakia,Meat,Online,M,4/22/2013,799389111,5/6/2013,5857,421.89,364.69,2471009.73,2135989.33,335020.4
662652,Europe,Slovakia,Baby Food,Online,M,6/12/2015,985158050,6/12/2015,9014,255.28,159.42,2301093.92,1437011.88,864082.04
662744,Europe,Slovakia,Cosmetics,Offline,H,9/8/2014,670384299,9/8/2014,466,437.2,263.33,203735.2,122711.78,81023.42
662746,Europe,Slovakia,Office Supplies,Online,H,3/27/2012,113103663,4/28/2012,8742,651.21,524.96,5692877.82,4589200.32,1103677.5
662804,Europe,Slovakia,Snacks,Online,M,1/25/2010,985552871,2/14/2010,5850,152.58,97.44,892593.0,570024.0,322569.0
662959,Europe,Slovakia,Personal Care,Offline,C,10/16/2013,850178563,11/4/2013,5585,81.73,56.67,456462.05,316501.95,139960.1
663264,Europe,Slovakia,Office Supplies,Offline,H,4/1/2013,525258338,5/6/2013,4469,651.21,524.96,2910257.49,2346046.24,564211.25
663540,Europe,Slovakia,Snacks,Offline,L,2/24/2016,435233962,4/6/2016,4256,152.58,97.44,649380.48,414704.64,234675.84
663777,Europe,Slovakia,Cosmetics,Offline,M,1/13/2012,460981881,1/15/2012,3638,437.2,263.33,1590533.6,957994.54,632539.06
663861,Europe,Slovakia,Cosmetics,Offline,M,9/11/2012,128351914,10/5/2012,1039,437.2,263.33,454250.8,273599.87,180650.93
663928,Europe,Slovakia,Meat,Online,M,9/12/2014,567620933,10/16/2014,503,421.89,364.69,212210.67,183439.07,28771.6
664117,Europe,Slovakia,Personal Care,Offline,H,11/9/2016,107368028,12/13/2016,1440,81.73,56.67,117691.2,81604.8,36086.4
664346,Europe,Slovakia,Baby Food,Offline,C,9/23/2013,397677028,11/11/2013,325,255.28,159.42,82966.0,51811.5,31154.5
664373,Europe,Slovakia,Beverages,Online,C,6/12/2013,986384141,7/26/2013,1842,47.45,31.79,87402.9,58557.18,28845.72
664629,Europe,Slovakia,Vegetables,Online,C,1/12/2010,965400254,1/15/2010,2243,154.06,90.93,345556.58,203955.99,141600.59
664641,Europe,Slovakia,Vegetables,Online,C,2/15/2011,434106576,3/3/2011,637,154.06,90.93,98136.22,57922.41,40213.81
664716,Europe,Slovakia,Cereal,Offline,H,6/22/2010,992415893,8/5/2010,6771,205.7,117.11,1392794.7,792951.81,599842.89
664885,Europe,Slovakia,Clothes,Offline,L,3/12/2014,944416368,3/25/2014,2645,109.28,35.84,289045.6,94796.8,194248.8
664994,Europe,Slovakia,Household,Online,H,4/28/2013,390814006,5/23/2013,9404,668.27,502.54,6284411.08,4725886.16,1558524.92
665072,Europe,Slovakia,Cosmetics,Offline,H,6/20/2017,294222724,6/30/2017,5897,437.2,263.33,2578168.4,1552857.01,1025311.39
665141,Europe,Slovakia,Cereal,Offline,L,10/13/2010,923432481,11/5/2010,3047,205.7,117.11,626767.9,356834.17,269933.73
665348,Europe,Slovakia,Meat,Online,M,10/16/2015,936327254,12/2/2015,8897,421.89,364.69,3753555.33,3244646.93,508908.4
665397,Europe,Slovakia,Meat,Online,M,12/11/2014,902448594,1/13/2015,3448,421.89,364.69,1454676.72,1257451.12,197225.6
665497,Europe,Slovakia,Cereal,Offline,M,12/7/2010,920289361,12/22/2010,2928,205.7,117.11,602289.6,342898.08,259391.52
665542,Europe,Slovakia,Office Supplies,Online,L,9/14/2011,822866809,10/11/2011,3430,651.21,524.96,2233650.3,1800612.8,433037.5
665653,Europe,Slovakia,Snacks,Online,M,7/13/2011,881464707,8/25/2011,3850,152.58,97.44,587433.0,375144.0,212289.0
665909,Europe,Slovakia,Fruits,Offline,H,9/10/2015,860480821,9/12/2015,4251,9.33,6.92,39661.83,29416.92,10244.91
666436,Europe,Slovakia,Vegetables,Online,L,2/25/2010,835719954,3/11/2010,6961,154.06,90.93,1072411.66,632963.73,439447.93
666684,Europe,Slovakia,Household,Online,L,3/15/2016,574681365,4/27/2016,9841,668.27,502.54,6576445.07,4945496.14,1630948.93
667158,Europe,Slovakia,Personal Care,Online,L,9/10/2016,344336688,10/20/2016,5733,81.73,56.67,468558.09,324889.11,143668.98
667235,Europe,Slovakia,Cosmetics,Offline,M,6/17/2010,238866651,7/7/2010,4805,437.2,263.33,2100746.0,1265300.65,835445.35
667288,Europe,Slovakia,Personal Care,Online,H,10/17/2013,172236716,11/5/2013,7527,81.73,56.67,615181.71,426555.09,188626.62
667451,Europe,Slovakia,Clothes,Offline,C,6/27/2011,460883176,8/2/2011,4428,109.28,35.84,483891.84,158699.52,325192.32
667506,Europe,Slovakia,Household,Online,M,7/15/2013,883859813,9/1/2013,2615,668.27,502.54,1747526.05,1314142.1,433383.95
667521,Europe,Slovakia,Snacks,Online,H,2/5/2010,827334725,3/23/2010,5585,152.58,97.44,852159.3,544202.4,307956.9
667683,Europe,Slovakia,Personal Care,Online,M,5/15/2011,899996411,7/1/2011,7793,81.73,56.67,636921.89,441629.31,195292.58
667780,Europe,Slovakia,Personal Care,Online,L,11/9/2013,668425643,11/9/2013,857,81.73,56.67,70042.61,48566.19,21476.42
668084,Europe,Slovakia,Fruits,Online,L,1/30/2010,882789504,2/2/2010,5887,9.33,6.92,54925.71,40738.04,14187.67
668294,Europe,Slovakia,Cosmetics,Online,M,7/28/2015,990161120,9/8/2015,9534,437.2,263.33,4168264.8,2510588.22,1657676.58
668333,Europe,Slovakia,Vegetables,Offline,M,10/14/2011,716721284,11/16/2011,2610,154.06,90.93,402096.6,237327.3,164769.3
668586,Europe,Slovakia,Fruits,Online,L,7/6/2017,714804255,7/24/2017,5319,9.33,6.92,49626.27,36807.48,12818.79
669183,Europe,Slovakia,Fruits,Offline,L,4/23/2010,242009770,5/21/2010,4924,9.33,6.92,45940.92,34074.08,11866.84
669346,Europe,Slovakia,Cereal,Online,H,4/14/2016,796978557,4/27/2016,2520,205.7,117.11,518364.0,295117.2,223246.8
669395,Europe,Slovakia,Personal Care,Offline,C,2/1/2010,842723309,3/15/2010,9409,81.73,56.67,768997.57,533208.03,235789.54
669511,Europe,Slovakia,Personal Care,Online,H,6/9/2016,465392720,7/19/2016,8903,81.73,56.67,727642.19,504533.01,223109.18
669584,Europe,Slovakia,Office Supplies,Online,L,10/7/2013,727262580,11/12/2013,2014,651.21,524.96,1311536.94,1057269.44,254267.5
669991,Europe,Slovakia,Household,Offline,C,4/12/2012,752122151,5/24/2012,8513,668.27,502.54,5688982.51,4278123.02,1410859.49
670075,Europe,Slovakia,Snacks,Online,M,4/12/2010,356540524,5/24/2010,7119,152.58,97.44,1086217.02,693675.36,392541.66
670355,Europe,Slovakia,Clothes,Offline,L,9/29/2011,561885297,11/5/2011,3201,109.28,35.84,349805.28,114723.84,235081.44
670399,Europe,Slovakia,Clothes,Online,H,9/24/2013,794484746,11/4/2013,4546,109.28,35.84,496786.88,162928.64,333858.24
670483,Europe,Slovakia,Office Supplies,Offline,H,6/6/2011,955690228,6/30/2011,8831,651.21,524.96,5750835.51,4635921.76,1114913.75
670552,Europe,Slovakia,Cereal,Offline,C,3/20/2017,724711692,4/21/2017,7149,205.7,117.11,1470549.3,837219.39,633329.91
670585,Europe,Slovakia,Beverages,Offline,C,9/13/2015,951476800,10/5/2015,1984,47.45,31.79,94140.8,63071.36,31069.44
670999,Europe,Slovakia,Snacks,Offline,L,2/15/2010,359683644,4/6/2010,7238,152.58,97.44,1104374.04,705270.72,399103.32
671158,Europe,Slovakia,Cereal,Online,L,8/24/2011,132918536,9/3/2011,2403,205.7,117.11,494297.1,281415.33,212881.77
671205,Europe,Slovakia,Beverages,Offline,M,10/6/2015,547665727,10/8/2015,5314,47.45,31.79,252149.3,168932.06,83217.24
671300,Europe,Slovakia,Meat,Offline,H,11/12/2013,299916732,12/5/2013,881,421.89,364.69,371685.09,321291.89,50393.2
671773,Europe,Slovakia,Cereal,Offline,L,3/6/2013,353890931,3/27/2013,3046,205.7,117.11,626562.2,356717.06,269845.14
671783,Europe,Slovakia,Vegetables,Online,H,11/23/2013,513828694,12/18/2013,2184,154.06,90.93,336467.04,198591.12,137875.92
671795,Europe,Slovakia,Beverages,Online,H,3/22/2013,949222028,4/10/2013,4747,47.45,31.79,225245.15,150907.13,74338.02
672401,Europe,Slovakia,Clothes,Online,H,7/25/2016,470395791,8/25/2016,9423,109.28,35.84,1029745.44,337720.32,692025.12
672404,Europe,Slovakia,Office Supplies,Online,H,8/11/2016,847289931,9/7/2016,774,651.21,524.96,504036.54,406319.04,97717.5
672655,Europe,Slovakia,Cosmetics,Online,M,2/17/2011,152972447,2/26/2011,6801,437.2,263.33,2973397.2,1790907.33,1182489.87
672660,Europe,Slovakia,Clothes,Offline,H,10/20/2010,780602920,12/4/2010,6605,109.28,35.84,721794.4,236723.2,485071.2
672678,Europe,Slovakia,Clothes,Online,L,7/27/2015,724415576,8/26/2015,9522,109.28,35.84,1040564.16,341268.48,699295.68
672952,Europe,Slovakia,Baby Food,Offline,C,1/29/2010,442294394,1/29/2010,3595,255.28,159.42,917731.6,573114.9,344616.7
673128,Europe,Slovakia,Beverages,Offline,H,5/24/2012,903575980,6/2/2012,7067,47.45,31.79,335329.15,224659.93,110669.22
673532,Europe,Slovakia,Meat,Offline,L,2/6/2010,696272552,2/20/2010,1376,421.89,364.69,580520.64,501813.44,78707.2
673580,Europe,Slovakia,Clothes,Online,L,2/11/2016,458768737,3/19/2016,8719,109.28,35.84,952812.32,312488.96,640323.36
673892,Europe,Slovakia,Office Supplies,Online,M,10/28/2016,440335738,10/28/2016,3985,651.21,524.96,2595071.85,2091965.6,503106.25
674063,Europe,Slovakia,Household,Offline,H,6/22/2016,441857945,8/7/2016,4440,668.27,502.54,2967118.8,2231277.6,735841.2
674139,Europe,Slovakia,Cosmetics,Online,M,12/11/2012,685237729,1/4/2013,5926,437.2,263.33,2590847.2,1560493.58,1030353.62
674159,Europe,Slovakia,Clothes,Offline,L,8/25/2013,310063207,9/1/2013,3448,109.28,35.84,376797.44,123576.32,253221.12
674209,Europe,Slovakia,Fruits,Offline,L,5/11/2013,410966622,6/21/2013,3011,9.33,6.92,28092.63,20836.12,7256.51
674256,Europe,Slovakia,Meat,Offline,H,10/4/2013,195771491,10/18/2013,1990,421.89,364.69,839561.1,725733.1,113828.0
674463,Europe,Slovakia,Cereal,Online,M,3/14/2015,650330388,3/15/2015,6068,205.7,117.11,1248187.6,710623.48,537564.12
675601,Europe,Slovakia,Baby Food,Online,H,10/9/2010,566690957,11/21/2010,5302,255.28,159.42,1353494.56,845244.84,508249.72
675629,Europe,Slovakia,Personal Care,Offline,H,10/7/2014,385868012,10/22/2014,5775,81.73,56.67,471990.75,327269.25,144721.5
676025,Europe,Slovakia,Cereal,Online,C,8/17/2013,143459832,8/31/2013,1807,205.7,117.11,371699.9,211617.77,160082.13
676164,Europe,Slovakia,Personal Care,Offline,C,1/1/2010,664113509,2/1/2010,4800,81.73,56.67,392304.0,272016.0,120288.0
676261,Europe,Slovakia,Cereal,Offline,M,8/16/2012,175421464,8/29/2012,9964,205.7,117.11,2049594.8,1166884.04,882710.76
676293,Europe,Slovakia,Clothes,Offline,H,12/6/2016,960298478,1/21/2017,2514,109.28,35.84,274729.92,90101.76,184628.16
676459,Europe,Slovakia,Snacks,Offline,M,12/27/2011,499905240,2/8/2012,1924,152.58,97.44,293563.92,187474.56,106089.36
677591,Europe,Slovakia,Fruits,Online,L,8/12/2015,288684499,9/29/2015,7013,9.33,6.92,65431.29,48529.96,16901.33
677656,Europe,Slovakia,Fruits,Online,L,4/12/2015,825318992,4/26/2015,9085,9.33,6.92,84763.05,62868.2,21894.85
677679,Europe,Slovakia,Personal Care,Online,M,11/10/2011,582276952,12/3/2011,7544,81.73,56.67,616571.12,427518.48,189052.64
677902,Europe,Slovakia,Meat,Online,C,1/2/2011,104281985,1/10/2011,8212,421.89,364.69,3464560.68,2994834.28,469726.4
677991,Europe,Slovakia,Household,Online,C,7/15/2015,970008504,8/9/2015,5927,668.27,502.54,3960836.29,2978554.58,982281.71
677997,Europe,Slovakia,Fruits,Online,C,8/6/2010,775360810,9/9/2010,5349,9.33,6.92,49906.17,37015.08,12891.09
678014,Europe,Slovakia,Household,Offline,H,2/27/2017,406893527,4/10/2017,7692,668.27,502.54,5140332.84,3865537.68,1274795.16
678126,Europe,Slovakia,Clothes,Online,M,7/23/2010,755208194,8/9/2010,1742,109.28,35.84,190365.76,62433.28,127932.48
678136,Europe,Slovakia,Snacks,Offline,H,10/26/2010,768835532,12/13/2010,4374,152.58,97.44,667384.92,426202.56,241182.36
678241,Europe,Slovakia,Beverages,Offline,H,2/13/2011,168361032,2/17/2011,625,47.45,31.79,29656.25,19868.75,9787.5
678568,Europe,Slovakia,Cosmetics,Offline,M,11/25/2014,263430106,12/18/2014,3677,437.2,263.33,1607584.4,968264.41,639319.99
678576,Europe,Slovakia,Household,Online,L,11/29/2013,633123481,12/8/2013,4162,668.27,502.54,2781339.74,2091571.48,689768.26
678790,Europe,Slovakia,Personal Care,Online,M,5/12/2010,709899890,6/26/2010,4008,81.73,56.67,327573.84,227133.36,100440.48
678921,Europe,Slovakia,Office Supplies,Offline,C,10/5/2011,196997582,10/12/2011,4817,651.21,524.96,3136878.57,2528732.32,608146.25
679515,Europe,Slovakia,Cereal,Offline,L,3/25/2012,153169858,5/8/2012,5220,205.7,117.11,1073754.0,611314.2,462439.8
679754,Europe,Slovakia,Fruits,Online,C,7/24/2014,205876338,8/6/2014,2238,9.33,6.92,20880.54,15486.96,5393.58
679756,Europe,Slovakia,Beverages,Online,C,5/6/2014,259710204,5/13/2014,2876,47.45,31.79,136466.2,91428.04,45038.16
680218,Europe,Slovakia,Fruits,Online,H,12/23/2012,439644801,1/21/2013,9521,9.33,6.92,88830.93,65885.32,22945.61
680349,Europe,Slovakia,Cosmetics,Online,C,3/30/2014,818118226,4/1/2014,8218,437.2,263.33,3592909.6,2164045.94,1428863.66
680359,Europe,Slovakia,Office Supplies,Offline,M,7/25/2012,932352864,8/8/2012,2786,651.21,524.96,1814271.06,1462538.56,351732.5
680522,Europe,Slovakia,Vegetables,Online,L,1/28/2017,997221553,3/19/2017,8873,154.06,90.93,1366974.38,806821.89,560152.49
680594,Europe,Slovakia,Baby Food,Offline,M,6/25/2015,148998057,7/22/2015,691,255.28,159.42,176398.48,110159.22,66239.26
680762,Europe,Slovakia,Cosmetics,Offline,M,12/16/2011,198618495,1/5/2012,4481,437.2,263.33,1959093.2,1179981.73,779111.47
680832,Europe,Slovakia,Snacks,Offline,L,11/12/2010,376791846,12/7/2010,9935,152.58,97.44,1515882.3,968066.4,547815.9
680910,Europe,Slovakia,Household,Online,L,8/22/2016,204889285,10/1/2016,147,668.27,502.54,98235.69,73873.38,24362.31
681028,Europe,Slovakia,Clothes,Online,M,9/19/2013,128310286,10/28/2013,8720,109.28,35.84,952921.6,312524.8,640396.8
681290,Europe,Slovakia,Meat,Offline,M,1/6/2012,888566768,2/12/2012,5507,421.89,364.69,2323348.23,2008347.83,315000.4
681393,Europe,Slovakia,Personal Care,Offline,L,8/12/2014,673766458,9/10/2014,1322,81.73,56.67,108047.06,74917.74,33129.32
681598,Europe,Slovakia,Beverages,Online,M,1/12/2010,921712863,2/25/2010,4174,47.45,31.79,198056.3,132691.46,65364.84
681758,Europe,Slovakia,Clothes,Online,H,7/11/2015,216459262,7/13/2015,3961,109.28,35.84,432858.08,141962.24,290895.84
681968,Europe,Slovakia,Beverages,Online,C,8/22/2010,252254951,9/21/2010,6700,47.45,31.79,317915.0,212993.0,104922.0
681997,Europe,Slovakia,Fruits,Offline,M,8/16/2011,647878205,8/31/2011,413,9.33,6.92,3853.29,2857.96,995.33
682002,Europe,Slovakia,Personal Care,Online,H,6/13/2014,910735118,7/18/2014,5615,81.73,56.67,458913.95,318202.05,140711.9
682335,Europe,Slovakia,Vegetables,Offline,C,3/13/2011,474411809,5/1/2011,7852,154.06,90.93,1209679.12,713982.36,495696.76
682391,Europe,Slovakia,Cereal,Offline,L,11/28/2011,455978810,12/10/2011,3118,205.7,117.11,641372.6,365148.98,276223.62
682546,Europe,Slovakia,Meat,Offline,M,1/12/2011,624005687,2/14/2011,6004,421.89,364.69,2533027.56,2189598.76,343428.8
682597,Europe,Slovakia,Cereal,Online,M,2/23/2015,598257768,3/17/2015,6623,205.7,117.11,1362351.1,775619.53,586731.57
682746,Europe,Slovakia,Snacks,Offline,L,12/1/2010,428864467,12/6/2010,9381,152.58,97.44,1431352.98,914084.64,517268.34
682800,Europe,Slovakia,Office Supplies,Online,H,12/29/2015,172631537,2/6/2016,4363,651.21,524.96,2841229.23,2290400.48,550828.75
682904,Europe,Slovakia,Office Supplies,Offline,L,4/13/2011,280891501,5/16/2011,892,651.21,524.96,580879.32,468264.32,112615.0
683401,Europe,Slovakia,Meat,Online,H,8/17/2011,188373315,9/4/2011,2705,421.89,364.69,1141212.45,986486.45,154726.0
683468,Europe,Slovakia,Snacks,Online,L,9/4/2015,741186034,9/22/2015,2273,152.58,97.44,346814.34,221481.12,125333.22
683483,Europe,Slovakia,Vegetables,Offline,M,7/11/2016,140810239,8/23/2016,7734,154.06,90.93,1191500.04,703252.62,488247.42
683510,Europe,Slovakia,Office Supplies,Online,M,2/1/2012,116246783,3/12/2012,8861,651.21,524.96,5770371.81,4651670.56,1118701.25
683719,Europe,Slovakia,Beverages,Online,L,10/4/2013,239458882,10/28/2013,59,47.45,31.79,2799.55,1875.61,923.94
683919,Europe,Slovakia,Personal Care,Online,C,1/4/2016,664056432,2/23/2016,7910,81.73,56.67,646484.3,448259.7,198224.6
684269,Europe,Slovakia,Beverages,Online,M,1/29/2012,528443086,2/26/2012,6907,47.45,31.79,327737.15,219573.53,108163.62
684500,Europe,Slovakia,Office Supplies,Online,C,2/2/2014,424453628,2/20/2014,4116,651.21,524.96,2680380.36,2160735.36,519645.0
684804,Europe,Slovakia,Baby Food,Online,C,6/28/2015,593114364,7/27/2015,4575,255.28,159.42,1167906.0,729346.5,438559.5
684836,Europe,Slovakia,Cosmetics,Online,M,12/3/2011,134778487,1/16/2012,2804,437.2,263.33,1225908.8,738377.32,487531.48
684950,Europe,Slovakia,Cosmetics,Offline,M,8/30/2015,206073749,10/17/2015,656,437.2,263.33,286803.2,172744.48,114058.72
685171,Europe,Slovakia,Clothes,Online,M,5/13/2013,589337384,6/13/2013,6883,109.28,35.84,752174.24,246686.72,505487.52
685182,Europe,Slovakia,Cosmetics,Offline,L,6/25/2010,536532199,8/9/2010,655,437.2,263.33,286366.0,172481.15,113884.85
685617,Europe,Slovakia,Fruits,Offline,H,4/26/2010,686126077,5/26/2010,8808,9.33,6.92,82178.64,60951.36,21227.28
685892,Europe,Slovakia,Snacks,Online,H,6/6/2017,492507064,7/23/2017,2640,152.58,97.44,402811.2,257241.6,145569.6
686054,Europe,Slovakia,Personal Care,Online,C,7/4/2017,623808276,8/22/2017,7586,81.73,56.67,620003.78,429898.62,190105.16
686103,Europe,Slovakia,Baby Food,Online,M,1/16/2012,464603078,1/17/2012,5230,255.28,159.42,1335114.4,833766.6,501347.8
686178,Europe,Slovakia,Meat,Offline,H,3/20/2010,344534099,4/14/2010,4151,421.89,364.69,1751265.39,1513828.19,237437.2
686418,Europe,Slovakia,Fruits,Offline,C,8/27/2016,827376353,9/27/2016,7904,9.33,6.92,73744.32,54695.68,19048.64
686767,Europe,Slovakia,Office Supplies,Online,M,4/11/2011,958833348,5/13/2011,8950,651.21,524.96,5828329.5,4698392.0,1129937.5
686877,Europe,Slovakia,Fruits,Offline,H,4/24/2012,550216615,4/30/2012,178,9.33,6.92,1660.74,1231.76,428.98
687059,Europe,Slovakia,Office Supplies,Online,H,10/1/2015,737803876,11/10/2015,1417,651.21,524.96,922764.57,743868.32,178896.25
687236,Europe,Slovakia,Cereal,Online,H,7/23/2013,325212752,8/25/2013,6535,205.7,117.11,1344249.5,765313.85,578935.65
687257,Europe,Slovakia,Beverages,Online,L,3/20/2010,388221490,4/24/2010,2221,47.45,31.79,105386.45,70605.59,34780.86
687381,Europe,Slovakia,Baby Food,Offline,C,11/11/2016,373113572,12/27/2016,1452,255.28,159.42,370666.56,231477.84,139188.72
687406,Europe,Slovakia,Personal Care,Online,L,4/20/2011,181749331,5/4/2011,2521,81.73,56.67,206041.33,142865.07,63176.26
687553,Europe,Slovakia,Office Supplies,Offline,H,10/7/2016,166204965,10/27/2016,2597,651.21,524.96,1691192.37,1363321.12,327871.25
687701,Europe,Slovakia,Clothes,Online,M,6/28/2014,121883714,7/18/2014,6954,109.28,35.84,759933.12,249231.36,510701.76
687900,Europe,Slovakia,Household,Offline,C,7/5/2013,451510894,8/18/2013,962,668.27,502.54,642875.74,483443.48,159432.26
688059,Europe,Slovakia,Office Supplies,Online,H,5/14/2012,427539670,6/28/2012,7344,651.21,524.96,4782486.24,3855306.24,927180.0
688173,Europe,Slovakia,Beverages,Offline,H,2/25/2010,792032563,3/1/2010,8891,47.45,31.79,421877.95,282644.89,139233.06
688214,Europe,Slovakia,Household,Online,H,6/27/2015,239994037,8/13/2015,8423,668.27,502.54,5628838.21,4232894.42,1395943.79
688275,Europe,Slovakia,Beverages,Online,C,10/9/2016,344575726,10/19/2016,6470,47.45,31.79,307001.5,205681.3,101320.2
688306,Europe,Slovakia,Office Supplies,Offline,C,12/17/2012,891907298,1/15/2013,4045,651.21,524.96,2634144.45,2123463.2,510681.25
688406,Europe,Slovakia,Clothes,Online,H,10/30/2012,708533465,12/18/2012,9652,109.28,35.84,1054770.56,345927.68,708842.88
688444,Europe,Slovakia,Personal Care,Online,C,2/1/2013,896910369,2/21/2013,4564,81.73,56.67,373015.72,258641.88,114373.84
688766,Europe,Slovakia,Office Supplies,Online,C,12/7/2010,151351535,1/23/2011,7137,651.21,524.96,4647685.77,3746639.52,901046.25
688939,Europe,Slovakia,Beverages,Offline,M,2/9/2015,709167325,3/19/2015,7226,47.45,31.79,342873.7,229714.54,113159.16
689352,Europe,Slovakia,Cereal,Online,M,11/18/2013,922403800,12/2/2013,8637,205.7,117.11,1776630.9,1011479.07,765151.83
689474,Europe,Slovakia,Cosmetics,Online,H,11/7/2015,179395854,12/23/2015,6075,437.2,263.33,2655990.0,1599729.75,1056260.25
689523,Europe,Slovakia,Cosmetics,Online,M,2/24/2011,141205060,3/8/2011,4570,437.2,263.33,1998004.0,1203418.1,794585.9
689989,Europe,Slovakia,Vegetables,Online,C,11/25/2015,822035539,11/28/2015,7438,154.06,90.93,1145898.28,676337.34,469560.94
689992,Europe,Slovakia,Meat,Online,L,7/7/2015,847092521,8/19/2015,2356,421.89,364.69,993972.84,859209.64,134763.2
690374,Europe,Slovakia,Clothes,Offline,M,11/12/2015,801882922,12/19/2015,3831,109.28,35.84,418651.68,137303.04,281348.64
690399,Europe,Slovakia,Household,Offline,M,9/9/2016,934903752,9/27/2016,7651,668.27,502.54,5112933.77,3844933.54,1268000.23
690546,Europe,Slovakia,Office Supplies,Offline,H,9/8/2013,155466258,10/10/2013,4775,651.21,524.96,3109527.75,2506684.0,602843.75
690591,Europe,Slovakia,Clothes,Offline,L,1/14/2011,671314275,2/25/2011,5667,109.28,35.84,619289.76,203105.28,416184.48
690756,Europe,Slovakia,Baby Food,Offline,L,7/26/2013,856703841,7/31/2013,6559,255.28,159.42,1674381.52,1045635.78,628745.74
691237,Europe,Slovakia,Meat,Online,M,4/2/2017,832239091,4/21/2017,6896,421.89,364.69,2909353.44,2514902.24,394451.2
691288,Europe,Slovakia,Meat,Offline,L,8/9/2012,230876243,8/30/2012,266,421.89,364.69,112222.74,97007.54,15215.2
691575,Europe,Slovakia,Snacks,Offline,H,9/4/2013,655037343,10/15/2013,8961,152.58,97.44,1367269.38,873159.84,494109.54
691695,Europe,Slovakia,Beverages,Offline,L,10/31/2014,619932591,12/4/2014,685,47.45,31.79,32503.25,21776.15,10727.1
692278,Europe,Slovakia,Meat,Offline,C,1/29/2012,484755694,2/15/2012,8837,421.89,364.69,3728241.93,3222765.53,505476.4
692350,Europe,Slovakia,Household,Offline,H,5/20/2011,666170871,7/8/2011,3619,668.27,502.54,2418469.13,1818692.26,599776.87
692468,Europe,Slovakia,Cosmetics,Online,M,12/7/2013,887101638,12/30/2013,1943,437.2,263.33,849479.6,511650.19,337829.41
692706,Europe,Slovakia,Personal Care,Online,M,8/30/2014,503780925,9/6/2014,8826,81.73,56.67,721348.98,500169.42,221179.56
692713,Europe,Slovakia,Baby Food,Online,H,11/17/2014,140514123,12/28/2014,106,255.28,159.42,27059.68,16898.52,10161.16
693023,Europe,Slovakia,Clothes,Online,C,4/21/2010,876264226,5/8/2010,4912,109.28,35.84,536783.36,176046.08,360737.28
693264,Europe,Slovakia,Personal Care,Online,L,7/20/2015,823557746,9/7/2015,7893,81.73,56.67,645094.89,447296.31,197798.58
693421,Europe,Slovakia,Cereal,Online,H,2/19/2010,629050385,2/28/2010,8843,205.7,117.11,1819005.1,1035603.73,783401.37
693660,Europe,Slovakia,Personal Care,Online,L,4/6/2010,765115630,5/8/2010,3572,81.73,56.67,291939.56,202425.24,89514.32
693696,Europe,Slovakia,Beverages,Online,C,4/2/2013,791003882,5/18/2013,4482,47.45,31.79,212670.9,142482.78,70188.12
693949,Europe,Slovakia,Household,Offline,H,1/15/2013,979521119,2/4/2013,921,668.27,502.54,615476.67,462839.34,152637.33
694247,Europe,Slovakia,Baby Food,Online,M,11/8/2015,576203572,12/16/2015,296,255.28,159.42,75562.88,47188.32,28374.56
694472,Europe,Slovakia,Personal Care,Online,H,10/13/2011,319913566,11/22/2011,8388,81.73,56.67,685551.24,475347.96,210203.28
694750,Europe,Slovakia,Meat,Online,C,6/1/2012,170179355,6/3/2012,8708,421.89,364.69,3673818.12,3175720.52,498097.6
694824,Europe,Slovakia,Office Supplies,Offline,C,1/7/2014,296773612,1/22/2014,762,651.21,524.96,496222.02,400019.52,96202.5
